;Question;Answer;BT_Level
3096;which formula one racing team developed the c-x75 's used for filming .;the c-x75s used for filming were developed by the engineering division of formula one racing team williams , who built the original c-x75 prototype for jaguar .;Knowledge
3097;what company did the williams formula one team originally build the c-x75 prototype for ?;the c-x75s used for filming were developed by the engineering division of formula one racing team williams , who built the original c-x75 prototype for jaguar .;Application
3098;where did spectre filming take place after rome ?;with filming completed in rome , production moved to mexico city in late march to shoot the film 's opening sequence , with scenes to include the day of the dead festival filmed in and around the zócalo and the centro histórico district .;Analysis
3099;which celebration was featured in the mexico city part of the production ?;with filming completed in rome , production moved to mexico city in late march to shoot the film 's opening sequence , with scenes to include the day of the dead festival filmed in and around the zócalo and the centro histórico district .;Knowledge
3100;which areas were shown in the day of the dead scene in spectre ?;with filming completed in rome , production moved to mexico city in late march to shoot the film 's opening sequence , with scenes to include the day of the dead festival filmed in and around the zócalo and the centro histórico district .;Knowledge
3101;how many additional actors were needed for the shoot in mexico city ?;this particular scene in mexico required 1,500 extras , 10 giant skeletons and 250,000 paper flowers .;Knowledge
3102;where were the scenes featuring planes shot ?;reports in the mexican media added that the film 's second unit would move to palenque in the state of chiapas , to film aerial manoeuvres considered too dangerous to shoot in an urban area .;Knowledge
3103;what festival was included in the scenes shot in mexico ?;with filming completed in rome , production moved to mexico city in late march to shoot the film 's opening sequence , with scenes to include the day of the dead festival filmed in and around the zócalo and the centro histórico district .;Knowledge
3104;what type of helicopter was used for the flight scenes ?;the planned scenes required the city square to be closed for filming a sequence involving a fight aboard a messerschmitt-bölkow-blohm bo 105 helicopter flown by stunt pilot chuck aaron , which called for modifications to be made to several buildings to prevent damage .;Knowledge
3105;where in mexico were the day of the dead scenes shot ?;with filming completed in rome , production moved to mexico city in late march to shoot the film 's opening sequence , with scenes to include the day of the dead festival filmed in and around the zócalo and the centro histórico district .;Analysis
3106;where did craig go to deal with his injury ?;following filming in mexico , and during a scheduled break , craig was flown to new york to undergo minor surgery to fix his knee injury .;Synthesis
3107;when did craig go back to work ?;it was reported that filming was not affected and he had returned to filming at pinewood studios as planned on 22 april .;Knowledge
3108;in what city did daniel craig have minor surgery to repair his knee ?;following filming in mexico , and during a scheduled break , craig was flown to new york to undergo minor surgery to fix his knee injury .;Knowledge
3109;which bridges were shut down because of filming ?;stunt scenes involving craig and seydoux on a speedboat as well as a low flying helicopter near westminster bridge were shot at night , with filming temporarily closing both westminster and lambeth bridges .;Knowledge
3110;which organization provided water for weather effects ?;the london fire brigade was on set to simulate rain as well as monitor smoke used for filming .;Knowledge
3111;which river was used in some of the shoots taking place in london ?;on 17 may 2015 filming took place on the thames in london .;Knowledge
3112;where is mi6 based ?;scenes were also shot on the river near mi6 's headquarters at vauxhall cross .;Knowledge
3113;filming closed which two bridges in london ?;stunt scenes involving craig and seydoux on a speedboat as well as a low flying helicopter near westminster bridge were shot at night , with filming temporarily closing both westminster and lambeth bridges .;Analysis
3114;who helped the filmakers simulate rain while shooting in london ?;the london fire brigade was on set to simulate rain as well as monitor smoke used for filming .;Analysis
3115;where were the scenes of ralph fiennes in a restaurant shot ?;prior to this , scenes involving fiennes were shot at a restaurant in covent garden .;Evaluation
3116;where stunt scenes on the thames shot during the day or the night ?;stunt scenes involving craig and seydoux on a speedboat as well as a low flying helicopter near westminster bridge were shot at night , with filming temporarily closing both westminster and lambeth bridges .;Synthesis
3117;which three locations in morocco were used in filming ?;after wrapping up in england , production travelled to morocco in june , with filming taking place in oujda , tangier and erfoud , after preliminary work was completed by the production 's second unit .;Knowledge
3118;what guinness record was set during the filming of spectre ?;an explosion filmed in morocco holds a guinness world record for the `` largest film stunt explosion '' in cinematic history , with the record credited to production designer chris corbould .;Knowledge
3119;who was the guinness record attributed to ?;an explosion filmed in morocco holds a guinness world record for the `` largest film stunt explosion '' in cinematic history , with the record credited to production designer chris corbould .;Knowledge
3120;how long did it take to shoot spectre ?;filming took 128 days .;Knowledge
3121;where did production go to after leaving london ?;after wrapping up in england , production travelled to morocco in june , with filming taking place in oujda , tangier and erfoud , after preliminary work was completed by the production 's second unit .;Synthesis
3122;what guinness world record does the film hold ?;an explosion filmed in morocco holds a guinness world record for the `` largest film stunt explosion '' in cinematic history , with the record credited to production designer chris corbould .;Knowledge
3123;how many day did filming take;filming took 128 days .;Knowledge
3124;the guinness world record was credited to which production designer ?;an explosion filmed in morocco holds a guinness world record for the `` largest film stunt explosion '' in cinematic history , with the record credited to production designer chris corbould .;Knowledge
3125;how much money were possible changes to the mexico city section of the film rumored to have saved the production ?;whilst filming in mexico city , speculation in the media claimed that the script had been altered to accommodate the demands of mexican authorities -- reportedly influencing details of the scene and characters , casting choices , and modifying the script in order to portray the country in a `` positive light '' -- in order to secure tax concessions and financial support worth up to $ 20 million for the film .;Synthesis
3126;which bond producer would not confirm that the film had been changed to accommodate mexican authorities ?;this was denied by producer michael g. wilson , who stated that the scene had always been intended to be shot in mexico as production had been attracted to the imagery of the day of the dead , and that the script had been developed from there .;Analysis
3127;in what other country , besides mexico , did the film experience administrative issues with local authorities ?;production of skyfall had previously faced similar problems while attempting to secure permits to shoot the film 's pre-title sequence in india before moving to istanbul .;Analysis
3128;which country did skyfall move its pre-title sequence filming to ?;production of skyfall had previously faced similar problems while attempting to secure permits to shoot the film 's pre-title sequence in india before moving to istanbul .;Knowledge
3129;who wrote the music for spectre ?;thomas newman returned as spectre 's composer .;Knowledge
3130;when was the soundtrack of spectre first available for purchase in the uk ?;the soundtrack album was released on 23 october 2015 in the uk and 6 november 2015 in the usa on the decca records label .;Knowledge
3131;what company published the spectre soundtrack ?;the soundtrack album was released on 23 october 2015 in the uk and 6 november 2015 in the usa on the decca records label .;Knowledge
3132;who composed the score for the film ?;thomas newman returned as spectre 's composer .;Knowledge
3133;which record label was the soundtrack album released on ?;the soundtrack album was released on 23 october 2015 in the uk and 6 november 2015 in the usa on the decca records label .;Knowledge
3134;did thomas newman compose the score after filming or during filming ?;rather than composing the score once the film had moved into post-production , newman worked during filming .;Synthesis
3135;when was the theatrical trailer of the movie released ?;the theatrical trailer released in july 2015 contained a rendition of john barry 's on her majesty 's secret service theme .;Knowledge
3136;what was the name of the song played during the opening credits ?;in september 2015 it was announced that sam smith and regular collaborator jimmy napes had written the film 's title theme , `` writing 's on the wall '' , with smith performing it for the film .;Knowledge
3137;how many recording sessions did it take to complete the song ?;smith said the song came together in one session and that he and napes wrote it in under half an hour before recording a demo .;Knowledge
3138;which version of the theme was used in the actual movie ?;smith said the song came together in one session and that he and napes wrote it in under half an hour before recording a demo .;Evaluation
3139;who is the vocalist on writing 's on the wall ?;in september 2015 it was announced that sam smith and regular collaborator jimmy napes had written the film 's title theme , `` writing 's on the wall '' , with smith performing it for the film .;Knowledge
3140;when was the main theme of spectre made available in digital format ?;the song was released as a digital download on 25 september 2015 .;Knowledge
3141;what song was the spectre theme comapred to unfavorably ?;it received mixed reviews from critics and fans , particularly in comparison to adele 's `` skyfall '' .;Evaluation
3142;what former bond theme singer was the subject of extensive activity on twitter when the spectre theme was released ?;the mixed reception to the song led to shirley bassey trending on twitter on the day it was released .;Synthesis
3143;what group wrote music for the film that ended up not being used ?;the english band radiohead also composed a song for the film , which went unused .;Synthesis
3144;what artist performed the theme song for skyfall ?;it received mixed reviews from critics and fans , particularly in comparison to adele 's `` skyfall '' .;Synthesis
3145;the release of writing 's on the wall caused what name to trend on twitter ?;the mixed reception to the song led to shirley bassey trending on twitter on the day it was released .;Evaluation
3146;which english band also composed a song for the film ?;the english band radiohead also composed a song for the film , which went unused .;Synthesis
3147;which companies revealed spectre 's official car ?;during the december 2014 press conference announcing the start of filming , aston martin and eon unveiled the new db10 as the official car for the film .;Knowledge
3148;which team displayed the bond logo during the mexican grand prix ?;after modifying the jaguar c-x75 for the film , williams f1 carried the 007 logo on their cars at the 2015 mexican grand prix , with the team playing host to the cast and crew ahead of the mexican premiere of the film .;Application
3149;what were the two db10s that were not needed for filming used for ?;"only eight of those 10 were used for the film , however ; the remaining two were used for promotional work .";Evaluation
3150;what logo did the williams race team have on their cars for the 2015 mexican grand prix ?;after modifying the jaguar c-x75 for the film , williams f1 carried the 007 logo on their cars at the 2015 mexican grand prix , with the team playing host to the cast and crew ahead of the mexican premiere of the film .;Application
3151;images of what item were posted by eon while the movie was being made ?;to promote the film , production continued the trend established during skyfall 's production of releasing still images of clapperboards and video blogs on eon 's official social media accounts .;Evaluation
3152;for what film did eon first use this method of promotion ?;to promote the film , production continued the trend established during skyfall 's production of releasing still images of clapperboards and video blogs on eon 's official social media accounts .;Knowledge
3153;on which social media accounts was the film promoted ?;to promote the film , production continued the trend established during skyfall 's production of releasing still images of clapperboards and video blogs on eon 's official social media accounts .;Evaluation
3154;what other bond film was promoted on social media ?;to promote the film , production continued the trend established during skyfall 's production of releasing still images of clapperboards and video blogs on eon 's official social media accounts .;Knowledge
3155;what comedy production did spectre actors appear in ?;on 13 march 2015 , several members of the cast and crew , including craig , whishaw , wilson and mendes , as well as previous james bond actor , sir roger moore , appeared in a sketch written by david walliams and the dawson brothers for comic relief 's red nose day on bbc one .;Knowledge
3156;on what tv station did red nose day appear ?;on 13 march 2015 , several members of the cast and crew , including craig , whishaw , wilson and mendes , as well as previous james bond actor , sir roger moore , appeared in a sketch written by david walliams and the dawson brothers for comic relief 's red nose day on bbc one .;Knowledge
3157;in what month was the preview of spectre released in movie theaters ?;the first teaser trailer for spectre was released worldwide in march 2015 , followed by the theatrical trailer in july and the final trailer in october .;Knowledge
3158;when was the first teaser trailer of spectre released ?;on 13 march 2015 , several members of the cast and crew , including craig , whishaw , wilson and mendes , as well as previous james bond actor , sir roger moore , appeared in a sketch written by david walliams and the dawson brothers for comic relief 's red nose day on bbc one .;Knowledge
3159;what show did several members of the cast and crew appear on in march 2015 ?;on 13 march 2015 , several members of the cast and crew , including craig , whishaw , wilson and mendes , as well as previous james bond actor , sir roger moore , appeared in a sketch written by david walliams and the dawson brothers for comic relief 's red nose day on bbc one .;Evaluation
3160;who wrote the comedy sketch for the cast and crew ?;on 13 march 2015 , several members of the cast and crew , including craig , whishaw , wilson and mendes , as well as previous james bond actor , sir roger moore , appeared in a sketch written by david walliams and the dawson brothers for comic relief 's red nose day on bbc one .;Synthesis
3161;where was the first showing of spectre held ?;spectre had its world premiere in london on 26 october 2015 at the royal albert hall , the same day as its general release in the united kingdom and republic of ireland .;Knowledge
3162;on what date was spectre first shown for general audiences ?;spectre had its world premiere in london on 26 october 2015 at the royal albert hall , the same day as its general release in the united kingdom and republic of ireland .;Knowledge
3163;what movie prompted imax to show spectre ?;in march 2015 imax corporation announced that spectre would be screened in its cinemas , following skyfall 's success with the company .;Knowledge
3164;what film opening was changed so it did n't compete with spectre ?;following the announcement of the start of filming , paramount pictures brought forward the release of mission : impossible -- rogue nation to avoid competing with spectre .;Analysis
3165;which film had a wider release in the uk , skyfall or spectre ?;following the announcement of the start of filming , paramount pictures brought forward the release of mission : impossible -- rogue nation to avoid competing with spectre .;Evaluation
3166;how much money had spectre made by 2/21/2016 ?;"as of 21 february 2016 -lsb- update -rsb- spectre has grossed $ 879.3 million worldwide ; $ 138.1 million of the takings have been generated from the uk market and $ 199.8 million from north america .";Knowledge
3167;how much revenue did spectre generate from the united states , mexico and canada by 2/21/2016 ?;"as of 21 february 2016 -lsb- update -rsb- spectre has grossed $ 879.3 million worldwide ; $ 138.1 million of the takings have been generated from the uk market and $ 199.8 million from north america .";Application
3168;how much revenue did spectre produce from the british , scottish , and irish market by 2/21/2016 ?;"as of 21 february 2016 -lsb- update -rsb- spectre has grossed $ 879.3 million worldwide ; $ 138.1 million of the takings have been generated from the uk market and $ 199.8 million from north america .";Knowledge
3169;how much did spectre make in its first week ?;in the film 's first seven days it grossed # 41.7 million ( $ 63.8 million ) , breaking the uk record for highest first-week opening , set by harry potter and the prisoner of azkaban 's # 23.88 million ( $ 36.9 million ) in 2004 .;Knowledge
3170;which movie previously had the highest earnings for its first seven days ?;in the film 's first seven days it grossed # 41.7 million ( $ 63.8 million ) , breaking the uk record for highest first-week opening , set by harry potter and the prisoner of azkaban 's # 23.88 million ( $ 36.9 million ) in 2004 .;Knowledge
3171;what movie did spectre unseat as having the highest earnings for imax screenings in the uk ?;in the u.k. , it surpassed avatar to become the country 's highest-grossing imax release ever with $ 10.09 million .;Analysis
3172;how much money did spectre gross on it 's opening day in the uk ?;it grossed # 6.3 million ( $ 9.2 million ) on its opening day and then # 5.7 million ( $ 8.8 million ) on wednesday , setting uk records for both days .;Application
3173;what film previously held the uk record for highest first week opening gross ?;in the film 's first seven days it grossed # 41.7 million ( $ 63.8 million ) , breaking the uk record for highest first-week opening , set by harry potter and the prisoner of azkaban 's # 23.88 million ( $ 36.9 million ) in 2004 .;Knowledge
3174;spectre passed which movie to become the highest grossing imax release in the uk ?;in the u.k. , it surpassed avatar to become the country 's highest-grossing imax release ever with $ 10.09 million .;Application
3175;spectre passed which movie to have the largest per screen opening average ?;the film also broke the record for the best per-screen opening average with $ 110,000 , a record previously held by the dark knight with $ 100,200 .;Application
3176;terrorist activity in what french city impacted spectre 's earnings ?;despite the 13 november paris attacks , which led to numerous theaters being closed down , the film opened with $ 14.6 million ( including $ 2 million in previews ) in france .;Analysis
3177;how much more did spectre earn compared with skyfall in the indian market ?;in india , it opened at no. 1 with $ 4.8 million which is 4 % above the opening of skyfall .;Analysis
3178;in paris , what movie has generated more ticket revenue than spectre ?;in paris , it has the second highest ticket sales of all time with $ 4.1 million tickets sold only behind spider-man 3 which sold over $ 6.32 million tickets in 2007 .;Evaluation
3179;how much did spectre make in its opening in south korea ?;spectre opened in germany with $ 22.45 million ( including previews ) , which included a new record for the biggest saturday of all time , australia with $ 8.7 million ( including previews ) and south korea opened to $ 8.2 million ( including previews ) .;Knowledge
3180;what is the only film to have a higher ticket sale in paris than spectre ?;in paris , it has the second highest ticket sales of all time with $ 4.1 million tickets sold only behind spider-man 3 which sold over $ 6.32 million tickets in 2007 .;Knowledge
3181;what movie did spectre beat to become top movie of the year in switzerland ?;it topped the german-speaking switzerland box office for four weeks and in the netherlands , it has held the no. 1 spot for seven weeks straight where it has topped minions to become the top movie of the year .;Evaluation
3182;how many imax screens showed spectre on its opening weekend in the us and canada ?;imax generated $ 9.1 million for spectre at 374 screens , premium large format made $ 8 million from 429 cinemas , reaping 11 % of the film 's opening , which means that spectre earned $ 17.1 million ( 23 % ) of its opening weekend total in large-format venues .;Knowledge
3183;how much money did spectre make in its first weekend in the us and canada ?;the film ended up grossing $ 70.4 million in its opening weekend ( about $ 20 million less than skyfall 's $ 90.6 million debut , including imax previews ) , but nevertheless finished first at the box office .;Knowledge
3184;how much money did preview showings generate in the us and canada ?;however , after grossing $ 5.25 million from its early thursday night showings and $ 28 million on its opening day , weekend projections were increased to $ 75 -- 80 million .;Application
3185;which film grossed more money for its opening weekend in the north american market , skyfall or spectre ?;the film ended up grossing $ 70.4 million in its opening weekend ( about $ 20 million less than skyfall 's $ 90.6 million debut , including imax previews ) , but nevertheless finished first at the box office .;Analysis
3186;how many imax screens was spectre shown on in north america ?;imax generated $ 9.1 million for spectre at 374 screens , premium large format made $ 8 million from 429 cinemas , reaping 11 % of the film 's opening , which means that spectre earned $ 17.1 million ( 23 % ) of its opening weekend total in large-format venues .;Knowledge
3187;what day of the week was spectre released in north america ?;however , after grossing $ 5.25 million from its early thursday night showings and $ 28 million on its opening day , weekend projections were increased to $ 75 -- 80 million .;Knowledge
3188;on what day and month was spectre released to the chinese market ?;in china , it opened on 12 november and earned $ 15 million on its opening day , which is the second biggest 2d single day gross for a hollywood film behind the $ 18.5 million opening day of mission : impossible -- rogue nation and occupying 43 % of all available screens which included $ 790,000 in advance night screenings .;Knowledge
3189;how much more money did spectre make during its first weekend in china than skyfall ?;through its opening weekend , it earned $ 48.1 million from 14,700 screens which is 198 % ahead of skyfall , a new record for a hollywood 2d opening .;Knowledge
3190;by the weekend after its china release , how much had revenue decreased ?;in its second weekend , it added $ 12.1 million falling precipitously by 75 % which is the second worst second weekend drop for any major hollywood release in china of 2015 .;Analysis
3191;how much had spectre made in its first month in china ?;it grossed a total of $ 84.7 million there after four weekends .;Knowledge
3192;spectre came in second in opening day gross in china behind what movie ?;in china , it opened on 12 november and earned $ 15 million on its opening day , which is the second biggest 2d single day gross for a hollywood film behind the $ 18.5 million opening day of mission : impossible -- rogue nation and occupying 43 % of all available screens which included $ 790,000 in advance night screenings .;Analysis
3193;how much money did spectre gross after four weekends in china ?;it grossed a total of $ 84.7 million there after four weekends .;Knowledge
3194;what was metacritics score for spectre ?;on metacritic , the film has a rating of 60 out of 100 , based on 48 critics , indicating `` mixed or average reviews '' .;Knowledge
3195;how many individual ratings contributed to metacritics score ?;on metacritic , the film has a rating of 60 out of 100 , based on 48 critics , indicating `` mixed or average reviews '' .;Knowledge
3196;what percentage of spectre reviews did rotten tomatoes find to be in favor of the film ?;rotten tomatoes sampled 274 reviews and judged 64 % of the critiques to be positive , saying that the film `` nudges daniel craig 's rebooted bond closer to the glorious , action-driven spectacle of earlier entries , although it 's admittedly reliant on established 007 formula . '';Evaluation
3197;who did cinemascore ask for input on the film ?;audiences polled by cinemascore gave the film an average grade of `` a − '' on an a + to f scale .;Knowledge
3198;what percentage of review on rotten tomatoes were positive ?;rotten tomatoes sampled 274 reviews and judged 64 % of the critiques to be positive , saying that the film `` nudges daniel craig 's rebooted bond closer to the glorious , action-driven spectacle of earlier entries , although it 's admittedly reliant on established 007 formula . '';Evaluation
3199;what was the movie 's rating on metacritic ?;on metacritic , the film has a rating of 60 out of 100 , based on 48 critics , indicating `` mixed or average reviews '' .;Evaluation
3200;who gave spectre a perfect rating in the daily telegraph ?;in another five star review , the daily telegraph 's robbie collin described spectre as `` a swaggering show of confidence ' '' , lauding it as `` a feat of pure cinematic necromancy . '';Evaluation
3201;a writer for which publication rated the film 7.2 / 10 ?;in an otherwise positive , but overall less enthusiastic review , ign 's chris tilly considered spectre `` solid if unspectacular '' , and gave the film a 7.2 score ( out of a possible 10 ) , saying that `` the film falls frustratingly short of greatness . '';Evaluation
3202;what score did mark kermode give spectre ?;mark kermode , writing in the guardian , gave the film four out of five stars , observing that the film did not live up to the standard set by skyfall , but was able to tap into audience expectations .;Knowledge
3203;how many stars did mark kermode of the guardian aware spectre prior to its release ?;mark kermode , writing in the guardian , gave the film four out of five stars , observing that the film did not live up to the standard set by skyfall , but was able to tap into audience expectations .;Knowledge
3204;which journalist considered spectre the worst james bond movie in three decades ?;forbes ' scott mendelson also heavily criticised the film , denouncing spectre as `` the worst 007 movie in 30 years '' .;Knowledge
3205;which writer for the san francisco chronicle awarded spectre with a perfect score ?;other positive reviews from mick lasalle from the san francisco chronicle , gave it a perfect 100 score , stating : `` one of the great satisfactions of spectre is that , in addition to all the stirring action , and all the timely references to a secret organization out to steal everyone 's personal information , we get to believe in bond as a person . '';Knowledge
3206;what score did the writer from the chicago tribune give to spectre ?;richard roeper from the chicago sun-times , gave it a 75 grade .;Knowledge
3207;the reviewer from variety compares spectre to which other bond movie ?;guy lodge from variety , gave it a 70 score , stating : `` what 's missing is the unexpected emotional urgency of `` skyfall , '' as the film sustains its predecessor 's nostalgia kick with a less sentimental bent . '';Analysis
3208;which atlantic writer gave a negative review of spectre ?;christopher orr , writing in the atlantic , also criticised the film , saying that spectre `` backslides on virtually every -lsb- aspect -rsb- '' .;Knowledge
3209;what adjective did lawrence toppman use to describe craig 's portrayal of james bond ?;lawrence toppman of the charlotte observer called craig 's performance `` bored , james bored . '';Evaluation
3210;what publication does alyssa rosenberg write for ?;alyssa rosenberg , writing for the washington post , stated that the film turned into `` a disappointingly conventional bond film . '';Knowledge
3211;what was the catch phrase lawrence toppman of the charlotte observer used for the film ?;lawrence toppman of the charlotte observer called craig 's performance `` bored , james bored . '';Evaluation
3212;whic organization is responsible for filtering movie content in india ?;in india , it was reported that the indian central board of film certification ( cbfc ) censored kissing scenes featuring monica bellucci , daniel craig , and léa seydoux .;Knowledge
3213;which social media site was used for complaining about the indian censoring ?;this prompted criticism of the board online , especially on twitter .;Analysis
3214;christoph waltz 's appearance in future bond movies is contingent on the appearance of which other actor ?;christoph waltz has signed on for two more films in the series , but his return depends on whether or not craig will again portray bond .;Evaluation
3215;when will work being on the follow-up to spectre ?;a sequel to spectre will begin development in spring 2016 .;Synthesis
3216;when will the sequel to spectre being development ?;a sequel to spectre will begin development in spring 2016 .;Evaluation
3217;in what year did the earthquake in sichuan occur ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Knowledge
3218;what was the earthquake named ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Knowledge
3219;how many people were killed as a result ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Knowledge
3220;what year did the sichuan earthquake take place ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Knowledge
3221;what did the quake measure ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Knowledge
3222;what day did the earthquake occur ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Knowledge
3223;what time of the day did the quake happen ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Analysis
3224;how many people died ?;the 2008 sichuan earthquake or the great sichuan earthquake , measured at 8.0 ms and 7.9 mw , and occurred at 02:28:01 pm china standard time at epicenter ( 06:28:01 utc ) on may 12 in sichuan province , killed 69,197 people and left 18,222 missing .;Knowledge
3225;which far away cities in other countries could feel the earthquake ?;the earthquake was also felt in nearby countries and as far away as both beijing and shanghai -- 1,500 km ( 930 mi ) and 1,700 km ( 1,060 mi ) away -- where office buildings swayed with the tremor .;Comprehension
3226;what was the focal depth of the earthquake ?;the epicenter was 80 kilometres ( 50 mi ) west-northwest of chengdu , the provincial capital , with a focal depth of 19 km ( 12 mi ) .;Knowledge
3227;how long after the earthquake were aftershocks felt ?;strong aftershocks , some exceeding magnitude 6 , continued to hit the area even months after the main quake , causing new casualties and damage .;Analysis
3228;what is another name for the earthquake in sichuan ?;"it is also known as the wenchuan earthquake ( chinese : 汶川大地震 ; pinyin : wènchuān dà dìzhèn ; literally : `` great wenchuan earthquake '' ) , after the location of the earthquake 's epicenter , wenchuan county , sichuan .";Knowledge
3229;where was the epicenter of the earthquake ?;"it is also known as the wenchuan earthquake ( chinese : 汶川大地震 ; pinyin : wènchuān dà dìzhèn ; literally : `` great wenchuan earthquake '' ) , after the location of the earthquake 's epicenter , wenchuan county , sichuan .";Knowledge
3230;how far was it from chengdu ?;the epicenter was 80 kilometres ( 50 mi ) west-northwest of chengdu , the provincial capital , with a focal depth of 19 km ( 12 mi ) .;Knowledge
3231;what was the focal depth of the quake ?;the epicenter was 80 kilometres ( 50 mi ) west-northwest of chengdu , the provincial capital , with a focal depth of 19 km ( 12 mi ) .;Knowledge
3232;how many people were confirmed dead ?;official figures ( as of july 21 , 2008 12:00 cst ) stated that 69,197 were confirmed dead , including 68,636 in sichuan province , and 374,176 injured , with 18,222 listed as missing .;Knowledge
3233;how many people were confirmed dead only in the sichuan province ?;official figures ( as of july 21 , 2008 12:00 cst ) stated that 69,197 were confirmed dead , including 68,636 in sichuan province , and 374,176 injured , with 18,222 listed as missing .;Knowledge
3234;how many people were left homeless because of the earthquake ?;the earthquake left about 4.8 million people homeless , though the number could be as high as 11 million .;Knowledge
3235;how many people lived in the affected area ?;approximately 15 million people lived in the affected area .;Knowledge
3236;how much money was dedicated to rebuild ravaged areas ?;on november 6 , 2008 , the central government announced that it would spend 1 trillion rmb ( about us $ 146.5 billion ) over the next three years to rebuild areas ravaged by the earthquake , as part of the chinese economic stimulus program .;Knowledge
3237;how many people died in sichuan province ?;official figures ( as of july 21 , 2008 12:00 cst ) stated that 69,197 were confirmed dead , including 68,636 in sichuan province , and 374,176 injured , with 18,222 listed as missing .;Knowledge
3238;how many were injured in sichuan ?;official figures ( as of july 21 , 2008 12:00 cst ) stated that 69,197 were confirmed dead , including 68,636 in sichuan province , and 374,176 injured , with 18,222 listed as missing .;Knowledge
3239;how many people are listed as missing ?;official figures ( as of july 21 , 2008 12:00 cst ) stated that 69,197 were confirmed dead , including 68,636 in sichuan province , and 374,176 injured , with 18,222 listed as missing .;Knowledge
3240;how many people are homeless because of the quake ?;the earthquake left about 4.8 million people homeless , though the number could be as high as 11 million .;Knowledge
3241;how high could the homeless number possibly go ?;the earthquake left about 4.8 million people homeless , though the number could be as high as 11 million .;Application
3242;where was the epicenter ?;the epicenter was in wenchuan county , ngawa tibetan and qiang autonomous prefecture , 80 km west/northwest of the provincial capital of chengdu , with its main tremor occurring at 14:28:01.42 china standard time ( 06:28:01.42 utc ) , on may 12 , 2008 lasting for around 2 minutes , in the quake almost 80 % of buildings were destroyed .;Knowledge
3243;how long did the earthquake last ?;the epicenter was in wenchuan county , ngawa tibetan and qiang autonomous prefecture , 80 km west/northwest of the provincial capital of chengdu , with its main tremor occurring at 14:28:01.42 china standard time ( 06:28:01.42 utc ) , on may 12 , 2008 lasting for around 2 minutes , in the quake almost 80 % of buildings were destroyed .;Knowledge
3244;what percentage of buildings were destroyed ?;the epicenter was in wenchuan county , ngawa tibetan and qiang autonomous prefecture , 80 km west/northwest of the provincial capital of chengdu , with its main tremor occurring at 14:28:01.42 china standard time ( 06:28:01.42 utc ) , on may 12 , 2008 lasting for around 2 minutes , in the quake almost 80 % of buildings were destroyed .;Knowledge
3245;what was the magnitude of the earthquake ?;the earthquake had a magnitude of 8.0 ms and 7.9 mw .;Knowledge
3246;how long did the main tremor last ?;the epicenter was in wenchuan county , ngawa tibetan and qiang autonomous prefecture , 80 km west/northwest of the provincial capital of chengdu , with its main tremor occurring at 14:28:01.42 china standard time ( 06:28:01.42 utc ) , on may 12 , 2008 lasting for around 2 minutes , in the quake almost 80 % of buildings were destroyed .;Comprehension
3247;what percentage of buildings were destroyed during the quake ?;the epicenter was in wenchuan county , ngawa tibetan and qiang autonomous prefecture , 80 km west/northwest of the provincial capital of chengdu , with its main tremor occurring at 14:28:01.42 china standard time ( 06:28:01.42 utc ) , on may 12 , 2008 lasting for around 2 minutes , in the quake almost 80 % of buildings were destroyed .;Knowledge
3248;on what fault did the earthquake occur ?;according to a study by the china earthquake administration ( cea ) , the earthquake occurred along the longmenshan fault , a thrust structure along the border of the indo-australian plate and eurasian plate .;Evaluation
3249;where is the longmenshan fault located ?;according to a study by the china earthquake administration ( cea ) , the earthquake occurred along the longmenshan fault , a thrust structure along the border of the indo-australian plate and eurasian plate .;Knowledge
3250;how long did the rupture last ?;the rupture lasted close to 120 sec , with the majority of energy released in the first 80 sec .;Knowledge
3251;how deep was the focus of the earthquake ?;the focus was deeper than 10 km .;Evaluation
