Question;Level
define soil horizon and relate it with soil profile.;Comprehension
briefly explain which characteristics of alluvial soils make them ideal for agriculture.;Comprehension
discuss why physical weathering is more prevalent in dry , cool regions while chemical weathering is more prevalent in wet , hot regions.;Comprehension
distinguish between products from physical and chemical weathering.;Analysis
briefly explain how clay particles and soil organisms influence soil structure.;Comprehension
discuss the importance of soil structure in vegetable farms.;Comprehension
describe how pore size can affect water retention in soil.;Comprehension
describe soil colloids and their importance.;Comprehension
in soil ph , define buffering and explain why it is important in soils.;Comprehension
classify soil organisms according to their ecology and state two examples for each group.;Comprehension
soil organic matter content will differ depending on environmental conditions. justify with two examples.;Evaluation
explain why mycorrhizal fungi are important for phosphorus availability in soil.;Comprehension
describe how soils are involved in the greenhouse effects.;Comprehension
describe whether the soil is contaminated or polluted.;Comprehension
state two examples for inorganic and organic contaminants , respectively.;Knowledge
briefly discuss three factors with one example each that should be considered when determining fertilizer placement method.;Comprehension
state the advantages of no tillage.;Knowledge
explain why higher rates of nitrogen might be required for no tillage compared to conventional tillage.;Comprehension
distinguish between rill and gully erosion.;Analysis
differentiate between soil fertility and soil productivity.;Analysis
briefly explain the drawbacks of using deficiency symptoms to determine fertilizer rates.;Comprehension
describe the advantages and disadvantages of foliar application in fruit crops.;Comprehension
describe conservation tillage and explain why it often requires a change in nutrient management.;Comprehension
comment on the importance of comparative genomics research.;Evaluation
briefly describe the stages involved in sequence assembly for the whole genome shotgun methodology.;Comprehension
discuss the significance of human genome project.;Comprehension
name the amino acid residues with the single letter code `` eqrnhl `` .;Knowledge
comment on the introduction of seven “ _” in the alignment.;Evaluation
briefly explain the mechanism of rna interference.;Comprehension
in a table form , state the advantages and disadvantages of x-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins.;Comprehension
eukaryotic genome is mostly repetitive dna and non-coding sequences. elaborate the statement.;Comprehension
in a table form , differentiate between refseq and genbank dna sequences.;Analysis
describe briefly the experimental flow of fluorescent in situ hybridization ( fish ). list three of its major applications.;Comprehension
genbank offers a few options for nucleotide sequence submissions. name two available options and when are they used.;Comprehension
contrast the following basic blast programs : psi-blast , phi-blast and tblastx.;Comprehension
list the advantages and limitations of protein crystal structure determination using x-ray crystallography.;Comprehension
name the amino acids for the following single letter codes : dmvrel.;Knowledge
comparing to the reference sequence , identify the functional elements to represent s2 and s3 , respectively.;Comprehension
indicate whether s2 or s3 is useful for genetic linkage analysis. justify your answer.;Evaluation
discuss the significance of genome studies in molecular medicine.;Comprehension
primary structure of a protein plays a significant role in determining the native structure or the protein fold. comment on the statement.;Evaluation
state the importance of data generated from a given hydrophobicity plot. describe the relevant information that can be deduced from the plot generated.;Comprehension
briefly explain if restriction mapping is useful in determining the presence of minisatellite.;Comprehension
describe the methodology of determining the transcriptional start site using race-pcr.;Comprehension
briefly describe the hierarchical classification of proteins using cath classification.;Comprehension
 `` microsatellite tandem repeats are abundant in human promoters and are associated with regulatory activity ( sawaya et al. , 2013 ).” discuss the statement and support your views with examples.;Evaluation
john watson passed away and left behind a legal child , mary watson , as well as two girlfriends , susan and petty , who were in their 8 week of gestation. susan claimed that she bore an illegitimate child of john watson. propose and design the most suitable paternity experiment to prove susan 's claim. you may outline your experiment using schematic diagram ( s ).;Synthesis
name the following conserved amino acids for their corresponding single letter codes : sqykrecp.;Knowledge
state what does the symbol “ +” represents.;Knowledge
melting temperature ( tm ) is an important criteria to consider when designing primers for pcr amplification. comment.;Evaluation
cath and scop are databases that hierarchically classify protein domains according to their structures. describe the cath protein classification system.;Comprehension
briefly describe the blosum scoring matrix.;Comprehension
construct a dna based cladogram using neighbour-joining approach , and suggest the relationship of s , m , and d species.;Synthesis
discuss the significance of hydrophobicity plot in transmembrane protein research.;Comprehension
list three applications of degenerate pcr amplification.;Knowledge
microbiota-based models may be an alternative method to facilitate the use of data on the gut microbiota in certain diseases. for example , nextseq 550 and nextseq 550dx platforms have been used to detect gut microbiota in non communicable diseases. compare and contrast both platforms with regards to their regulatory status , key applications and array scanning.;Analysis
highlight the importance of bioinformatics analysis in genomic studies.;Comprehension
identify the genetic elements in the dna sequences of homo sapiens , homo luzonensis and homo erectus. justify your answer.;Evaluation
state the main missions of national center for biotechnology information ( ncbi ).;Knowledge
proline and glycine are prevalent in beta-turns of protein structures. comment on the statement.;Evaluation
bernard has successfully determined the sequence of protein x which consists of 110 amino acid residues. he is interested to predict the protein struc using the available homology modelling software. based on your knowledge of the mechanism of protein folding , comment on the reliability and accuracy of the prediction.;Evaluation
write an essay on the importance of comparative genomics.;Synthesis
name the following conserved amino acids with their corresponding single letter codes : wmeadk.;Knowledge
comment on the values that were generated for “identities” and “positives `` .;Evaluation
define the designation “frame = -3 `` .;Knowledge
state the significance of “score” in the blastx alignment.;Comprehension
in a table , list eight differences between genbank and refseq dna sequences.;Comprehension
briefly describe the disadvantages of characterising three dimensional protein structures using x-ray diffraction.;Comprehension
define “ecosystem services” and describe how they are benefiting our society.;Comprehension
state the problems that could arise from environmental overload of fixed nitrogen due to generous usage of nitrogen fertilizer and suggest a possible solution for this situation.;Synthesis
using an appropriate example , describe how competitive elisa works.;Comprehension
list and explain three factors that are affecting microbial biodegradation rates of petroleum hydrocarbon.;Comprehension
name the three types of land application of wastewater.;Knowledge
describe the circumstances when tertiary treatment of wastewater is necessary.;Comprehension
explain why bogs are considered to be a `` carbon sink `` .;Comprehension
you are on a mission to study the microbial diversity in a hyperarid desert. design experimental steps in collecting , storing , and analyzing the samples. justify the choices in each step and predict the types of microbes that could be found.;Evaluation
describe the major functions or roles of soil microbes that beneficially impact human health and welfare.;Comprehension
compare and contrast microbial and chemical risk assessment.;Analysis
explain the microbe-related coupling of carbon , nitrogen , and oxygen in a lake that is experiencing a sudden bloom of cyanobacteria due to anthropogenic fertilizer inputs.;Comprehension
define “biogeochemical cycling” and discuss its importance to the ecosystem and survival of living organisms.;Comprehension
state the purposes of risk assessment.;Knowledge
explain why hazard identification in the case of pathogens is complicated.;Comprehension
describe the formation of an aquatic dead zone.;Comprehension
a solid cube with dimensions of 10.0 nm was dispersed into water to become colloidal particles with dimensions of 1.0 nm. calculate the changes of surface area to volume ( surface / volume ).;Application
list and explain two simple techniques used to prepare colloids by mean of dispersion. use simple diagrams to clarify the explanation.;Comprehension
state two phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium.;Knowledge
give the appropriate formula to calculate the velocity of the sedimentation.;Comprehension
differentiate between electroosmosis and electrophoretic mobility of solutes in capillary electroosmosis.;Analysis
the oscillating jet method is commonly used to study the surface /interfacial tensions. give another three methods that are used to measure surface /interfacial tension.;Comprehension
briefly explain the main feature of the structures of dilute foams and concentrated foams.;Comprehension
give two methods to measure the surface coverage.;Comprehension
briefly explain why fatty acids such as stearic acid can be used in langmuir blodgett ( lb ) film deposition and how the monolayer is formed.;Comprehension
give the appropriate formula to calculate the kinetic energy of sodium.;Comprehension
sketch the type i isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm.;Application
briefly explain the auger process.;Comprehension
give two disadvantages of transmission electron microscopy ( tem ).;Comprehension
give two functions of egg yolks in mayonnaise production.;Comprehension
explain in detail the chemisorptions of ammonia. focus only on molecular adsorption of ammonia on a solid surface at low temperature.;Comprehension
explain briefly how the aggregation processes could improve the water quality in a water treatment plant.;Comprehension
give three disadvantages of x-ray photoelectron spectroscopy ( xps ).;Comprehension
calculate the surface tension of a wetting liquid , c ( 1.23 gml-l ) which rises 1.50 m in a vertical capillary tube with the internal radius of 0.15 mm.;Application
a blue solid cube with dimensions of 10.0 x 10-9 m was dispersed into water to become colloidal particles with dimensions of 1.0 x 10-9 m. calculate the changes of surface area to volume ( surface / volume ).;Application
explain and differentiate between two types of aggregations when colloidal particles are unstable.;Analysis
list another two isotherms besides langmiur isoterm.;Knowledge
briefly explain why does surface tension remain constant once critical micelle concentration ( cmc ) is reached.;Comprehension
name the two ways of how molecules bonded to surface. provide a brief description on the modes of adsorption.;Comprehension
briefly explain the differences between and langmuir-blodgett ( lb ) monolayer and self-assembled monolayer ( sam ).;Comprehension
list three types of atomic force mircroscopes ( afm ).;Knowledge
differentiate between gibbs adsorption equation and dynamic surface tension in the study of adsorption at interfaces.;Analysis
sketch the type il isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm.;Application
explain in detail the chemisorptions of hydrocarbon ( eg. alkene , alkyne etc ). focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.;Comprehension
briefly explain how the aggregation processes could improve the water quality in a water treatment plant.;Comprehension
briefly explain why formation of solid forms in final product such as glasses and bottles in glass industry is a disadvantage.;Comprehension
give four information that can be obtained from scanning electron miscroscope ( sem ).;Comprehension
explain and differentiate between two types of aggregations when colloidal particles are unstable.;Analysis
describe the electrokinetic phenomenon.;Comprehension
briefly explain why coating a nanoparticle or surface with a polyelectrolyte ( polymer with ionizable groups ) is favourable.;Comprehension
state two phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium.;Knowledge
briefly explain why surface tension remains constant once critical micelle concentration ( cmc ) is reached.;Comprehension
briefly explain and draw the structure of dilute foams and concentrated foams.;Comprehension
sketch the type iii isotherm and provide a brief description of its nature and the processes that give rise to the isotherm.;Application
briefly explain the differences between a langmuir-blodgett ( lb ) monolayer and a self-assembled monolayer ( sam ).;Comprehension
briefly explain the auger process.;Comprehension
give two advantages of x-ray photoelectron spectroscopy ( xps ).;Comprehension
list the information that can be obtained from x-ray photoelectron spectroscopy ( xps ).;Knowledge
briefly explain how aggregation processes could improve the water quality in a water treatment plant.;Comprehension
draw the hexapeptide gly-phe-asp-leu-ala-glu. identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.;Comprehension
describe the common structural features of phosphatidylserine , phosphatidylethanolamine , phosphatidylcholine and phosphatidylinositol. state their general function ( s ).;Comprehension
explain the processing of eukaryotic mrna transcripts prior to translation. indicate the chemical bases for each step.;Comprehension
justify whether trna or mrna would be more extensively hydrogen bonded.;Evaluation
list the five groupings of amino acids based on the r groups , give one example for each group.;Comprehension
name and briefly describe three types of column chromatography used in protein purification.;Comprehension
define the chemical interaction indicated by the arrows. identify the binding region of an antigen on the antibody structure.;Comprehension
name the four different types of interactions involved in building the tertiary structure of proteins and give one denaturing agent for each.;Comprehension
name the two classes of monosaccharide. draw and name the simplest structure of molecule in each class.;Comprehension
write short notes on the structure and functions of polysaccharides by giving relevant example.;Comprehension
list the three types of rna involved in the transcription and translation , and briefly explain their functions.;Comprehension
briefly describe the formation of disulfide bond. suggest one role of disulfide bond.;Synthesis
name four enzymes in dna replication and state their functions.;Comprehension
compare and contrast continuous and discontinuous replications.;Analysis
write short notes on the structure of rna.;Comprehension
 can you distinguish for me between what is reasonably achievable and what are exaggerations;Analysis
list three characteristics that are unique to the cubist movement.;Knowledge
classify celebrations into family and community categories.;Comprehension
examine what helps to make a good olympics ? think about money , schedules , sports and people.;Analysis
identify ordinal positions;Knowledge
identify fractions from a pictorial representation;Knowledge
select the best title for a passage;Comprehension
evaluate board games and justify why rules are important.;Evaluation
organize this book into three or more sections and give your own subtitle for each section.;Synthesis
explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.;Synthesis
use the e-ph or pourbaix diagram of cr to determine the control current and potential for the anodic protection of a s43000 stainless steel vessel. ;Comprehension
by comparing the map of the tectonic plates to the earthquake map , what inferences can you make ?;Analysis
show how to modify fitch 's algorithm given in class today to accommodate non-binary;Application
which of the two liquids is hypotonic;Knowledge
design a poster for this book.;Synthesis
is there a better solution to . . . ?;Evaluation
relate the principle of reinforcement to classroom interactions.;Application
compose a class story.;Synthesis
describe what goes in each of the four areas on the first page of notes;Comprehension
judge aesthetic qualities and relationship to future values.;Evaluation
compare how different children come to school.;Analysis
justify your choice of data structure.;Synthesis
how do i differentiate between `` deceive '' and `` cheat on '' ?;Analysis
how did chinese newspapers differ from us;Analysis
label the parts of the following insects : grasshopper;Knowledge
recall the supply voltage constraints;Knowledge
can you differentiate between ethnic chinese and ethnic koreans;Analysis
what is the setting of to kill a mockingbird ?;Knowledge
 use the unification algorithm to determine whether the following two terms are uni _able. show intermediate step;Application
write a short story relating a personal experience in the style of a picaresque novel.;Synthesis
predict the differences of a planet with no seasonal changes.;Synthesis
if notes are available on the professor’s website , how should those notes be used ?;Application
are there students who should not use the cornell method ?;Evaluation
create an equation to represent the solution to this problem.;Synthesis
when did you born ?;Knowledge
in which continent does the state of suriname fall;Knowledge
revises and process to improve the outcome.;Synthesis
why don’t you devise your own way to deal with . . . ?;Synthesis
how do psychologists differ in their general attitudes toward third party presence;Analysis
develop a plan for a new olympic bid system.;Synthesis
how does your pet differ from other animals ?;Analysis
if interest were compounded monthly instead of daily , what would the difference in interest be ?;Analysis
take a collection of photographs to demonstrate a particular point.;Application
explain the whole method of crushing;Comprehension
do you think . . . is a good or a bad thing ?;Evaluation
how the investigation was undertaken;Analysis
decide which method of solving a problem was most effective;Evaluation
examine the stated positions of both major political candidates with regard to a particular issue and state good reasons ( based on principles discussed in class ) for why one candidates position is more likely to be effective than the other 's.;Evaluation
can you defend the idea that simon 's incident with the pig 's head is the most mystical in the story ?;Evaluation
 how do we differentiate between an interview and an interrogation ?;Analysis
how to construct simple solutions when problems are complex ?;Application
recall the following pictoral example of an implementation of some queue operations;Knowledge
 estimate the epicentral coordinates of the earth-quake;Evaluation
contrast building in the coastal zone with building in a river floodplain.;Analysis
suggest ways in which it could have responded more effectively;Evaluation
relate topographic map to field features;Application
evaluate two internet sources of information about the egyptians. which would be a better choice for your purpose and why ?;Evaluation
identify the correct definition of osmosis.;Knowledge
 would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator;Comprehension
judge the value of . . . ?;Evaluation
decide which course of action was most effective;Evaluation
list the steps involved in titration.;Knowledge
how do we construct agents that can deliver. “good” assistance;Application
estimate the difficulty of the question;Evaluation
how might lifestyles in the united states be modified if a more socialistic system were adopted ?;Application
design a cost effective strategy to generate reliable data.;Synthesis
retell the story in your words.;Comprehension
how would you decide about... ?;Evaluation
draw 3 pictures showing the beginning , middle and ending of the story.;Application
list four types of clauses mentioned in the article;Knowledge
how do teenagers use code in emails and instant messages ?;Application
when was the first airport in the yemen built;Knowledge
calculate for x in the following equation : 12x =36;Application
state in your own words the rule for balls and strikes in baseball.;Comprehension
plan a research paper on a given historical topic;Synthesis
defend the following claim : the cornell method works so well that it could turn even a poor lecture into a valuable learning experience.;Evaluation
name 5 steps that follow the taking of notes ( within 24 hours or less ) ?;Knowledge
can you distinguish pot still rums from column still rums by taste;Analysis
write a logically organized argument in favor of a given position.;Synthesis
compare and contrast animals that the class has made.;Analysis
explain in your own words what do you mean by the term economics ?;Comprehension
how much did he pay for his car;Knowledge
explain how timothy saved phillip 's life.;Comprehension
state the rule for using a semicolon in a sentence.;Knowledge
name one character. rewrite the story from this character 's point of view.;Synthesis
when did the first saudi radio station open;Knowledge
list the characteristics peculiar to the cubist movement.;Knowledge
in one sentence explain the main idea of a written passage.;Comprehension
classify types of corrosion inhibitors ;Comprehension
show , through role-play , the final scene in the novel.;Application
improved , reformed or rejected ?;Evaluation
show how e-crm can be used to improve marketing positioning as explained in the article;Application
divide the story into initiating event , rising action , climax , and falling action;Analysis
evaluate the corrosion monitoring needs of a chemical processing plant;Evaluation
after designing an experiment , examining the results , and drawing conclusions , determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.;Evaluation
do you agree... ?;Evaluation
write an essay in not more than 250 words about india and technological advancement. use active voice as much as possible.;Synthesis
 develop a network based on the following information : activity immediate predecessors;Synthesis
list the levels in bloom 's taxonomy.;Knowledge
 construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network;Application
from a blueprint to describe the article depicted.;Comprehension
apply laws of statistics to evaluate the reliability of a written test.;Application
select the most effective solution.;Evaluation
how would you show your understanding of the abc process;Application
make a list of facts you learned from the story.;Knowledge
how could someone modify the cornell method to make it effective for researching a topic for a paper ?;Application
combine any two sports to develop a new olympic sport.;Synthesis
apply and integrate several different strategies to solve a mathematical problem ( not according to one formula ( ;Synthesis
compare fall and spring;Analysis
demonstrate how your unit’s specific student learning outcomes are linked to the mission of uam.;Application
what questions would you ask if . . . ?;Application
construct an analog circuit with the following specifications;Application
place the following in order of priority...;Evaluation
how was this similar to . . . ?;Analysis
summarize the main point of these two texts in your own words;Comprehension
do you devise a systematic approach in order to get larger progressions;Synthesis
draw a picture of the bears ' house.;Application
compose your own note-taking design that incorporates all theadvantages of the cornell method.;Synthesis
what do you think is the best thing about coming to viestal ?;Evaluation
who was the writer of the hamilton;Knowledge
how does one specify the syntactical restrictions;Application
devise a new economic system based on the ones that already exist.;Synthesis
analyze the characteristics of frogs.;Analysis
draw the basic outline of a page of notes using the cornell method ?;Knowledge
correctly label the brain lobes indicated on the diagram below;Knowledge
which technology is used by laser printer;Knowledge
contrast the treatment of `` well known '' trademarks provided by paris article and by trips article;Analysis
how do we differentiate between genuine buyer and undercover buyer;Analysis
how do you think one should reason in making ethical decisions in business;Evaluation
 how do you construct foliations on a given manifold m ?;Application
 compare and contrast two treatments of either drapery or animals by greek sculptors , establishing their artistic contexts;Comprehension
can you develop a proposal which would . . . ?;Synthesis
identify the five major prophets of the old testament.;Knowledge
tell in your own words how the setting of the story made it more interesting.;Comprehension
 use the second-derivative test to determine whether critical points where f0 ( x ) = 0 yield relative maxima or relative minima;Application
if your story occurred long ago , compare that time with today in a good paragraph. if it was a modern story , compare it with a long time ago and tell what would be different.;Analysis
draw a picture of the gown cinderella wore to the ball.;Application
if you had access to all resources how would you deal with . . . ?;Synthesis
design the architecture of the software system based on the requirements defined in the software requirement specification document;Synthesis
compare three celebrations using a venn diagram.;Analysis
analyze safe and dangerous aspects of these features.;Analysis
how would you create /design a new... ?;Synthesis
given the two solutions to the stated programming problem , rate the solutions in terms of efficiency and readability.;Evaluation
suppose phillip wasn 't rescued shortly after timothy 's death. how long could he have survived ?;Synthesis
how does hawaii contrast and compare to florida ?;Analysis
state the characteristics of each type of corrosion testing studied;Knowledge
discuss the nature of socialism.;Comprehension
recall basic math facts;Knowledge
estimate expenditure on hiv /aids education;Evaluation
construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.;Application
what criteria would you use to assess... ?;Evaluation
design costumes for the characters.;Synthesis
compose a simple rap or rhyme about zoo animals.;Synthesis
can you distinguish aged rums from unaged rums by smell;Analysis
in one sentence illustrate the main point of a written passage.;Comprehension
analyze the movements and sounds of a frog.;Analysis
state the definition of application in bloom 's taxonomy.;Knowledge
can you compare your . . . with that presented in . . . ?;Analysis
can you state in your own words what the problem is asking you to do;Comprehension
predict what will happen next in.;Evaluation
compose a rhythm or put new words to a known melody.;Synthesis
in a given clinical situation , select the most reasonable intervention and predict the main effects and possible side effects.;Evaluation
explain in your own words what a recessive gene is.;Comprehension
apply your understanding the olympic spirit to develop a new motto or slogan.;Application
identify one problem in the book and give an alternate solution one not given by the author.;Synthesis
compare the place where the story happened with where you live.;Analysis
structure , sorts the list in ascending order , displays the list on the screen and stores the list;Synthesis
award the contract to the best proposal. rank the principles of `` good sportsmanship '' in order of importance to you.;Evaluation
in your own words , how would you summarize the story up;Comprehension
state the formula for the area of a circle;Knowledge
can you create new and unusual uses for . . . ?;Synthesis
select the athlete of the century and analyze why you chose this person.;Analysis
can you design a\. . . to . . . ?;Synthesis
conduct an investigation to produce information to support a view.;Analysis
compare and contrast our school to other communities.;Analysis
how many states are there in usa;Knowledge
do you think that this statement conveys the idea that i am trying to portray;Evaluation
about what proportion of the population of the us is living on farms ?;Knowledge
what would you do if a heavy growth of bacteria had occurred;Application
invent a machine to do a specific task.;Synthesis
listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.;Evaluation
define the meaning of the olympic motto.;Knowledge
assess the importance of understanding seasonal patters.;Evaluation
use laplace to solve the following problems;Application
how many years does this animal live ?;Knowledge
given two possible solutions , a and b , to solving the given software development problem , decide on the best solution. give your justification.;Evaluation
identify a property ( commutative , additive , etc ( ;Knowledge
revise and process to improve the outcome.;Synthesis
briefly describe the author 's approach to the liabilities of the goto statement;Comprehension
if your story happened in a foreign land , compare that land to the united states.;Analysis
are you a\. . . person ?;Evaluation
compute the area of actual circles.;Application
 construct one turing machine for computing each of the following functions;Application
design a new animal to live in the jungle.;Synthesis
given a graph of production trends in automobiles , describe what the graph represents in a memo to your boss.;Comprehension
list reserved words in c programming.;Knowledge
develop a sqa plan for a software development project which is defined in the attached document.;Synthesis
specify a deterministic finite automaton ( dfa ) recognizing the;Application
evaluate appropriate and inappropriate actions of characters.;Evaluation
appraise the speech 's effectiveness based upon the class ' criteria.;Evaluation
critique the other student 's ( or your own ) speech , based on the criteria we have studied this semester.;Evaluation
use the rule for a semicolon in a sentence.;Application
compare and contrast two characters in the book.;Analysis
rewrite the sentence in your head , following the direction given below;Comprehension
what do you think is the mass and why;Evaluation
compare two of the characters in this book.;Analysis
explain what a poem means.;Comprehension
use a judge and jury to discuss the statement 'children enjoy anthony browne 's books because of the illustrations '.;Evaluation
interpret the pictures.;Comprehension
can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?;Analysis
differentiate the passages that attacked a political opponent personally , and those that attacked an opponent 's political programs.;Analysis
how many loop statement available in c + + ?;Knowledge
describe what took place as the hato was sinking.;Comprehension
who is the first president of usa;Knowledge
justify the title to kill a mockingbird .;Evaluation
construct a poster that will advertise your new food product in an exciting and irresistible way.;Evaluation
what would you predict /infer from... ?;Synthesis
state four attributes of well engineered software.;Knowledge
make a diagnosis or analyze a case study.;Analysis
describe nuclear transport to a lay person.;Comprehension
evaluate a work of art , giving the reasons for your evaluation.;Evaluation
recall locations of a historical events;Knowledge
create a storyboard for a sequel to your book. use the same characters.;Synthesis
how does tdap differ from td vaccine;Analysis
estimate roughly how long the collision process takes;Evaluation
break down the main actions of the story.;Analysis
how could we determine the number of pennies in a jar without counting them ?;Synthesis
compose music for a frog play.;Synthesis
define four types of traceability.;Knowledge
what is your family name;Knowledge
draw and label a diagram of a typical stream.;Knowledge
how much is your weight;Knowledge
how is scientific progress similar to darwinian evolution according to kuhn;Analysis
decide about the most exciting part of the book. being sure to give at least three reasons why ?;Evaluation
assess the relative effectiveness of different graphical representations of the same data or biological concept.;Evaluation
 examine carefully the given map extract on the following page to help you work out the exercise below.;Analysis
construct a venn diagram to determine the validity of the given argument.;Application
distinguish between the following giving suitable examples;Analysis
compare herbatious and carnivorous animals on a venn diagram.;Analysis
draw the block diagram of the central processing unit;Knowledge
what would result if …;Application
describe 4 types of coupling in software design.;Comprehension
recall the definition of the formula datatype from your assignment 2.;Knowledge
what are major facts about particular cultures and societies;Knowledge
can you find four different feelings pa lia had during the story ?;Analysis
specify the thickness of a galvanized coating based on atmospheric data ? ( level 2 );Application
show me how you would check the brake lights are working on this car;Application
draw the flow chart of the pnk system;Knowledge
compare calliope with howie. use the word bank.;Comprehension
investigate innovations that can enhance future olympics.;Analysis
demonstrate using the opac and your knowledge of library organization to find a book about turtles.;Application
paraphrase this poem about sheik schubli , explaining what he was saying about the characteristics of a friend;Comprehension
assess the appropriateness of an author 's conclusions based on the evidence given.;Evaluation
illustrate this caption : `` olympic as a media event in the information society `` ;Comprehension
how would you change the story to create a different ending ?;Synthesis
using the basic principles of socialism discussed in this course , evaluate the us economic system by providing key arguments to support your judgment.;Evaluation
state the guidelines to design an anodic protection system;Knowledge
create a new product. give it a name and plan a marketing campaign.;Synthesis
describe how the linear polarization method can yield corrosion rates;Comprehension
what is a textual index;Knowledge
construct the 4-bit ripple carry adder circuit;Application
how is . . . similar to . . . ?;Analysis
how does autonomy differ with age;Analysis
judge whether it would be possible to survive on an island alone and blinded. write about it.;Evaluation
critically examine the strengths and weaknesses of the positivist paradigm;Analysis
rewrite a part in the poem using a different speaker;Comprehension
when was the un formed;Knowledge
select the best proposal for a proposed water treatment plant.;Evaluation
how was life different in your town 100 years ago ?;Analysis
solve for the ten following fraction multiplication problems. please make sure to show all your work.;Application
write a poem about this book.;Synthesis
 examine the differences between the model excluding the most influential observation and the model including all observations.;Analysis
how do you analyze a marginally rct;Analysis
make a scrapbook about the areas of study.;Application
develop and execute a program for this exercise;Synthesis
design a healthy menu that you think most people would enjoy using the healthy eating guide.;Evaluation
describe what happened at... ?;Comprehension
can you defend your position about . . . ?;Evaluation
use a manual to calculate an employee 's vacation time.;Application
 how can we combine and abstract facts about a software system to create new knowledge ?;Synthesis
choose and illustrate the two most important events in the story.;Evaluation
how would you restructure the school day to reflect children 's developmental needs ?;Synthesis
how effective are . . . ?;Evaluation
derive a kinetic model from experimental data.;Application
prepare a book jacket that illustrates the kind of book as well as the story.;Synthesis
make up a puzzle game using the ideas from the study area.;Application
distinguish facts from hypotheses;Analysis
use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.;Application
integrate training from several sources to solve a problem.;Synthesis
describe the major clinical differences between visceral and somatic pain;Comprehension
analyze the positive and negative points presented concerning the abolition of guns and write a brief ( 2-3page ) narrative of your analysis.;Analysis
state the pattern for expressing time in french.;Knowledge
tell in your own words the beginning of the book.;Comprehension
model an olympic village for the new millenium.;Application
name the property that states that;Knowledge
define mercantilism.;Knowledge
what is the most important... ?;Evaluation
describe how phillip and timothy survived on the cay.;Comprehension
judge the difficulty level for yourself.;Evaluation
can you write a new recipe for a tasty dish ?;Synthesis
describe in your own words what happens when a stream 's velocity slows.;Comprehension
construct a market strategy for your product using a known strategy as a model.;Application
show how they have used creative writing strategies appropriate to the format;Application
identify the standard peripheral components of a computer.;Knowledge
in a teaching simulation with your peers role-playing 6th grade students , demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.;Application
judge whether olympic ideals are realistic or unrealistic for the contemporary elite athlete.;Evaluation
how many instructions in the instruction set of risc computer ?;Knowledge
in which part of the world does he live;Knowledge
what are the representational symbols on maps and charts;Knowledge
outline in your own words how the leggo 's tomato paste advertisement sells their product.;Comprehension
evaluate the level of galvanic coupling between two metals using basic kinetic information ? ( level 4 );Evaluation
explain the possible uses described in class for the space to the left of the vertical line.;Comprehension
make a radio announcement that advertise the book. write it out.;Synthesis
state the rule for balls and strikes in baseball.;Knowledge
state how to find a word in a dictionary;Knowledge
identify a phrase as a simile;Knowledge
what does ict stands for.;Knowledge
choose any u.s. president and explain how he exercised his power as commander in chief of the armed forces.;Application
can you solve the following problem;Application
 inspect each of these boolean expressions , and determine whether each one is a sum of products , or a product of sums;Analysis
how would you investigate this patient;Analysis
complete an analogy ( analogy tasks are inference tasks );Comprehension
use a costing model to compute prices on goods to maximise profits and minimise costs.;Application
write a set of rules to prevent what happened in the story.;Synthesis
 inspect the size of the loaded data : how many objects and variables does the iris data matrix contain ?;Analysis
explain the process ( paraphrase ) for finding the perimeter of a rectangular garden;Comprehension
which of the following item does not belong to the set ?;Knowledge
recall the equation for the ideal gas law.;Knowledge
develop a way to teach the concept of `` adjectives `` .;Synthesis
can you group by characteristics such as . . . ?;Application
what is the title of the first movie you saw;Knowledge
would you solve these two problems using similar approaches;Application
explain the term conjugal families , by making reference to the different types of societies to which they could belong.;Analysis
distinguish between abstract date types ( adts ) and implementations of adts;Analysis
describe in prose what is shown in graph form.;Comprehension
how much data can be stored in the cach memory;Knowledge
 sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight;Application
given these five corrosion inhibitors , v , w , x , y , z , identify which are passivators ;Comprehension
how would you have handled . . . ?;Evaluation
differentiate between .call by value and call by reference.;Analysis
describe an experiment to answer the question of the effects of weight on the fall of an object.;Application
analyze the problem , identifying its variables.;Analysis
develop a hypothesis.;Synthesis
 briefly compare this way of testing the satisfiability of to the more standard way using sld resolution , as in prolog;Comprehension
establish criteria for making this choice and defend your final selection.;Evaluation
devise plans to market or make artwork more valuable.;Synthesis
